Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
Rogue Angels - Legacy of the Burning Suns,Emil Larsen & Martin Enghoff,Sun Tzu Games,Paid,$16,1-4,up to 90 minutes,16+,Science Fiction,Cooperative Play,Card Play,MEDIUM,Solo/Cooperative,Base Game,"Expert Crafting (100's of cards, many boards, many tiles and tokens, unique elements)",A co-op sci-fi legacy adventure crawler driven by  choices and narrative,"Rogue Angels is a co-op sci-fi adventure game driven by character choices and a strong narrative with multiple paths, tactical combat with fluent turns and action management with asymmetric abilities. Rogue Angels offers a game play ranging from infiltration, combat and sabotage to assassination, search and rescue operations, with most missions being adaptable to player choices. Set in the Burning Suns universe, you get the opportunity to become a hero and help save the galaxy through impactful choices for your characters and their legacies.",https://gamefound.com/en/projects/suntzugames/rogue-angels,,"Many campaign books, cards, character standees, 3D figures, custom dice, tokens and tiles.",Alternative to the 8 custom 6-sided dice,English,2025,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/RsNu6S0r95LQVBQiAWvD.jpg,,help@pnpfinder.com
Sub Terra,Tim Pinder,Inside the Box Board Games LLP (ITB),Free,,1-5,up to 60 minutes,10+,Survival,Action Selection,Cooperative Play,LIGHT,Cooperative,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Escape a danger-filled cave & evade horrors in a co-op challenge.,"A 1-6 player cooperative game of terrifying cave escape. Players take the role of amateur cavers attempting to escape an unexplored network of subterranean tunnels before the lights flicker out or the darker things beneath the Earth catch up to them... In Sub Terra players spend their turn exploring and revealing the tunnel system around them, attempting to survive the various perils of the cave, from floods and cave-ins to gas leaks and scree. Players each have a role that gives them specialist abilities. New tiles are placed from a randomized stack of cave features, which determines whether you'll be hit with a dead end or a range of new options. At the end of each turn, players face the reality of their situation, with a hazard card drawn to determine what danger causes them damage or cuts off their way out of the horror below. These cards are finite, and when they run out, your torches flicker and your chance of survival diminishes quickly.",https://boardgamegeek.com/boardgame/204472/sub-terra/files?pageid=2,,"Tiles, cards, player boards, tokens.","Meeples, dice.",English,2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/be3QQQny54iVFPvtqKW9.png,,help@pnpfinder.com
Unmasqued,Drew Bowling,Web Published,Free,,1-2,up to 60 minutes,12+,Spies / Espionage,Deduction,Grid Movement,MEDIUM,Solo/Cooperative,Base Game,"Advanced Crafting (many cards, folding boards, tiles, circle tokens)",Spot the patterns. Discover the clues. Solve the mystery.,"Unmasqued is a game of deduction and patterns. The player moves the Detective around the ballroom to find pairs of cards that score the most Rumor Points. Throughout the game, Rumor Points can be turned in for Clues, allowing the player to narrow in on the identity of each culprit. The player wins the game by confronting both culprits before the end of the third hour.",https://boardgamegeek.com/thread/2461348/wip-unmasqued-2020-solitaire-contest-contest-ready,,"136 Cards, 2 Small Boards, 1 Deduction Pad","2 Pawns, 2 Cubes, 1 Pencil",English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Cfvrtgoj6HAyOjaIbgDp.png,,help@pnpfinder.com
Villagers,Haakon Gaarder,Sinister Fish Games,Free,,1-5,up to 60 minutes,10+,City Building,Drafting,Set Collection,MEDIUM,Solo/Competitive,Base Game + Expansion,"Advanced Crafting (many cards, folding boards, tiles, circle tokens)",Draft cute medieval villagers to complete production chains & earn gold!,"You are the founder of a new village during the middle ages, in the years after a great plague. The loss of so many people has created big problems for the survivors. Many of the people the villagers used to depend on for essential things like food, shelter and clothes are gone. Craftsmen find themselves without suppliers of raw materials, traders have lost their customers and many have lost their farms and workshops as they escaped the plague. The roads are full of refugees seeking a new beginning. Your grain farm is the ideal starting point for a village, reliably providing food for many people. You must choose wisely who you allow to settle with you, as your food and resources are limited. Find people that can work together to make a profit, while increasing your food surplus and capacity for building new houses, your village will be prosperous. The game comes with a solo mode where a lone village strives to prosper in spite of the dreaded Countess and her evil machinations.",https://boardgamegeek.com/thread/2418633/villagers-print-and-play-2020,,184 Cards,Lots of Coins/Money,English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/MqU1JADLEFCMjKvpXxgs.png,STAFF PICKS,help@pnpfinder.com
Wonder Tales,John Kean,Button Shy,Paid,$3,2,up to 30 minutes,8+,Fantasy,Tile Placement,Set Collection,LIGHT,Competitive,Base Game,Simple Cuts (a few cards or tiles),2 players vie to group the fairytale characters in the best combinations.,"A collection of old fairy tales has been torn apart. Pages from different stories are all mixed together and strewn about. Can you find the connections between the scattered characters to put their stories back together? Reunite the characters in clever ways to win the game! Wonder Tales is a quick tile-laying set-collection micro-game for two players. Each of the 17 game cards is double sided, with the same fairy tale character on both sides, but with different colored highlights. Players take turns placing cards on a shared tableau with their color showing. Once the tableau is full, scores are tallied depending on which combinations of characters and/or colors lie adjacent to each player's cards. A game consists of 2-3 rounds, with the tableau shape changing each round.",https://www.pnparcade.com/products/wonder-tales,,18 Cards,,English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/wYvkTj9ihiLwtuJHtfm4.png,,help@pnpfinder.com
Antinomy,John Baluci,Button Shy,Paid,$3,1-2,up to 30 minutes,8+,Fantasy,Hand Management,Set Collection,LIGHT-MEDIUM,Solo/Competitive,Base Game + Expansion,Simple Cuts (a few cards or tiles),Go head to head with another sorcerer as you compete for crystals.,"/an-tin-uh-mee/ noun (A contradiction between two beliefs or conclusions that are in themselves reasonable; a paradox) As a Sorcerer, you have long sought ancient relics, imbued with magic. What unspeakable power can you unleash when you collect relics from anywhere in the spacetime continuum? Antinomy is a head to head battle of wits as 2 competing sorcerers in search of powerful Paradox Crystals. Play a single card from your hand using the color or symbol to dive into the past, or use the number to fly into the future. The card you land on gets swapped with the card you played allowing you to build up a winning hand. Wherever you go, clever card play and a set of 3-of-a-kind cause paradoxes forming crystals of your own. Or confront your opponent in a Clash to wrest control of their crystals. Collecting 5 of these crystals will ensure your control over space and time. Do you have what it takes to wield the power of Antinomy?",https://www.pnparcade.com/search?q=antinomy,,18 Cards + Solo Expansion Cards,6 Gems/Tokens,English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/kAGC0aekpBqrKj7p9YlF.png,,help@pnpfinder.com
Harsh Shadows,Rachel Bruner,Wonderspell,Paid,$4,1,up to 30 minutes,8+,Spies / Espionage,Hand Management,Grid Movement,LIGHT-MEDIUM,Solo,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",A Solo Spy Game: find the evidence to catch a spy before he/she escapes.,"This is the published version of ""To Catch a Spy"" with new, fabulous art by Ben Flores. As the agent you move first, avoiding the spy until you have all 3 items of evidence. As you move to each location, reveal a discovery card which could be an item, clue, or bomb- which will force you to discard a card. You can use a location's special ability and discovered clues to reveal case cards. Arrow cards move the spy to an adjacent location, where a new discovery card is placed at random. If the spy moves to your location, discard a card. If you can't discard a card or discover you've discarded an item matching a case card, you lose immediately. When the discovery deck is empty, the spy attempts to escape. You must place a tracking bug on the spy, discard the red herring, and have all the three evidence cards in hand before you can attempt to catch the spy before the spy escapes.",https://www.pnparcade.com/products/harsh-shadows,,55 Cards,,English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/gUHPtdJzghKB9QZRsjnB.png,,help@pnpfinder.com
Park Life: People Edition,dylan coyle,Charming Games Collective,Paid,$3,1-4,up to 30 minutes,8+,Animals / Nature,Trick Taking,Set Collection,MEDIUM,Solo/Competitive,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Cozy trick taking game with tableau building and set collecting,"Park Life: People Edition (1-4 players) is a ""may follow"" trick taking game where timing is critical. You're park merchants selling weather based goods: umbrellas in the rain, hot drinks in the snow, ice cream in the heat, kites in the wind, and lanterns in the fog. Everyone plays a card, and the lowest card on suit wins the trick. But cards are worth points equal to their value and you discard cards when you win a sale, so winning with higher cards is better. The longer you wait in the round, the easier it is to win with a higher card, and if you wait until you don't have many cards to discard you can cheese the card out for less waste. People Edition adds set collecting cards, wild cards, and tableau building to the Park Life. Do you focus on a single suit? Do you go wide and wild? Do you hold big cards until the end of each round when you are guaranteed to win one? You keep the cards you win until the end of the game, so you can strategize over the three hands of the game.",https://charminggames.itch.io/people,,59 cards,,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/uVXRpZLUWFt3TUCfgYv4.jpg,,help@pnpfinder.com
Park Life: Hedgehog Edition,dylan coyle,Charming Games Collective,Paid,$3,1-4,up to 10 minutes,8+,Animals / Nature,Trick Taking,Multi-use Cards,LIGHT-MEDIUM,Solo/Competitive,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Cozy trick taking game with hedgehogs!,"Park Life: Hedgehog Edition is a ""may follow"" trick taking game where timing is critical.",https://charminggames.itch.io/hedgehog,,59 cards,,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Q5DpknMW6xnBe7Ado9Eo.jpg,,help@pnpfinder.com
Persona 5 Print & Play Board Game,Brother Ming,Web Published,Free,,1-2,up to 60 minutes,10+,Anime / Manga,Set Collection,Dice Rolling,LIGHT-MEDIUM,Solo/Cooperative,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",A quick solo and co-op rendition of the P5 experience.,"The Unofficial Persona 5 Phan-Game (UP5P) is a short game, taking around 30 minutes to complete. It’s pretty small in scale; you can play solo or co-op with a friend, and it’s only played using a few decks of cards and some tokens. You get to choose one Phantom Thief to play as (even Akechi makes the roster), and then in very Persona fashion you have to make some hard choices, because each turn—represented by a day of the month—you can only do one thing. Players can go recruit confidants (like Shinya, Miishima and Iwai) to gain perks, go to school to increase social stats, explore locations around them or make a run on the palace, defeating shadows in combat and trying to reach the boss. This recreates the exact same stresses as Atlus’ game. How do you best invest the time given to you? If you spend too long getting ready you might not clear the palace in time, but if you rush the palace unprepared you might screw things up. Rules: https://drive.google.com/open?id=1-NEmSw3MUyKdrZzekDvAlEKFjnFg3QVi7h1RkTD0RHg",https://drive.google.com/open?id=1jCD5Qxb9gmIs8nzKJ78qW0N2tzlpKt2Q,https://drive.google.com/open?id=1-NEmSw3MUyKdrZzekDvAlEKFjnFg3QVi7h1RkTD0RHg,"cards, boards","dice, tokens",English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/eyU3fIP6hUMMhXMDWK80.png,,help@pnpfinder.com
Establishing Empires,Dino Music,Rolling Elephant,Paid,$5,1-4,up to 30 minutes,10+,Civilization Building,Flip & Write / Roll & Write,Drafting,MEDIUM,Competitive,Base Game,Quick Print (no crafting required),Wealthy nobles compete to establish the most prosperous empire.,"You are one of up to 4 benevolent nobles looking to expand and develop your land in hopes of establishing a functional and fearsome empire. You will collect resources and exploit the land; you will build buildings and develop your civilization through military, grace, population, and science tracks; you will explore ancient ruins, fight off troublesome invaders, and set up trade routes. A shared pool of dice will be rolled. Those dice will then be drafted and used to activate your Buildings. These will in turn produce resources or move you up on development tracks which will give interesting bonuses. Clever management of resources will allow you to achieve various goals regarding expansion, exploration, exploitation, and extermination. This game is 4X themed, but it is not a true 4X game - while it does include many elements of such games, the main focus is on resource management and expansion, with a closed exploration system.",https://boardgamegeek.com/market/product/3568777,,1 A4 sheet per player,"1 pen per player, 2 dice per player (3 for solo game)",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/mRyNUdcV0ohDjQz3Wr0G.png,,help@pnpfinder.com
Rail Baron Rivals,Jack Neal,,Free,,1,up to 10 minutes,10+,Trains,Network / Route Building,Dice Rolling,LIGHT-MEDIUM,Solo,Base Game,Quick Print (no crafting required),Develop rail lines in the golden age of railroading,"Rail Baron Rivals is a game where you and a rival baron are competing to have the most cash after 12 years of development in the golden age of railroading in the U.S. Northeast. Each year is represented by a turn in which you will roll 5 special dice that are used by one or more railroads to build track, expand cities and improve infrastructure. You may invest in any of these companies by acquiring shares - the more shares you have of the successful railroads the richer you will be. If you can get the right combination of shares and each railroad has increased in value then you have won the game.",https://boardgamegeek.com/boardgame/162293/rail-baron-rivals/files,,,,English,2014,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/nj68qqd5q2IpfjarIIO4.png,,help@pnpfinder.com
Dune Express,Felbrigg Herriot,Web published,Free,,2+,up to 10 minutes,16+,Science Fiction,Dice Management,Worker Placement,LIGHT,Competitive,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Dune but played as a shrinked dice manager,"A free Print and Play dice game in the tradition of the popular ""express"" set of games. This game takes the core of the highly successful ""Dune"" board game and boils it down to its very bones. Each player takes control of a Great House, the Fremen, the Spacing Guild or the Bene Gesserit and tries to take control of the majority of the planet DUNE.",https://boardgamegeek.com/boardgame/42617/dune-express/files,,Just one PDF file of 7 pages,9 d6,English,2009,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/nEeVA12oknlpi93XT3xn.webp,,help@pnpfinder.com
De Bello Galactico,"Tobias Gohrbandt, Heiko Günther",Web published,Free,,3+,up to 90 minutes,10+,Science Fiction,Action Selection,,MEDIUM,Competitive,Base Game,Quick Print (no crafting required),De Bello Galactico is a straightforward and streamlined true 4X space game.,"De Bello Galactico puts you in control of one the interstellar civilizations competing for galactic supremacy. To prevail, you will need to explore and colonize new star systems, build space ships, research new technologies, politicize in the galactic council, and keep your population happy. De Bello Galactico is a straightforward and streamlined true 4X space game. The vast interstellar distances covered are baked into the Hyperspace movement system, doing away with the need for a board. Each Faction has different upgradeable ships, as well as a different way to handle their population. Thanks to a staggered action and pass system, downtime is minimal and rounds flow fast.",https://boardgamegeek.com/boardgame/269936/de-bello-galactico/files,,6 player boards and a lot of tiles,more than 50 cubes of any color,English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/AAQjkA4ab8JDzbNNMIM7.webp,,help@pnpfinder.com
Haze Islands,Charles Ward,"Web published, EX1ST GAMES",Free,,1-3,up to 60 minutes,10+,Adventure,Multi-use Cards,Grid Movement,MEDIUM,Competitive,Base Game,Simple Cuts (a few cards or tiles),Sail trough islands searching for treasures and avoiding Doom,"You and your band of scallywag pirates are in deep, deep trouble. Something you’ve never seen before has been following your ship, seeking revenge, growing stronger with rage. Perhaps you took one treasure too many, and now fate is closing in. So hurry while the wind is brave in your sails! Sail from island to island, scouting, fighting, looting for treasure, and spending your loot to live out tale worthy adventures. Players take action using the map deck to expand the board, move, search for resources, place workers, complete adventure cards, and attack each other. As each round ends the AI player increases strength and moves in to attack the nearest player. This forces players to end their turn as far away as possible by either expanding the map or moving. Resources in hand and large boards will result in shorter rounds making it harder as the game progresses. Players not eliminated by the AI or other players win. If both survive the adventures determine the victory.",https://boardgamegeek.com/boardgame/195533/haze-islands/files,,50 cards,Some extra tokens ro meeples,English,2016,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/1RRZDKKVcIsfHHqgAA5D.webp,,help@pnpfinder.com
Pacific Ocean,"Oleg Meleshin, Yury Yamshchikov",Timashov Publishing,Free,,1-3,up to 10 minutes,8+,Animals / Nature,Set Collection,Card Play,LIGHT,Solo/Competitive,Base Game,Simple Cuts (a few cards or tiles),Attract aquatic animals to your marine sanctuary to score more points.,"Pacific Ocean is a quick set collection 18-card game where you aim to attract aquatic animals to your sanctuary. Select new inhabitants not just for yourself but also for your opponent. As every animal you attract will uniquely affect your end game points, you’ll need to think strategically to prove that your sanctuary deserves the top rank. Select 2 Aquatic Animal cards from your hand and place 1 card face up and the other card face down. The other player chooses 1 of those cards to add to their sanctuary. The remaining card is added to your own sanctuary. You can add a card to your sanctuary in one of two ways: to add icons or a scoring condition. To add icons, place a card underneath and expose just the top of the card, showing the icons. To add a scoring condition, expose just the bottom of the card, showing the condition. After 6 turns both players score all the points by satisfying scoring conditions in their sanctuaries. The player who has scored the most points wins.",https://boardgamegeek.com/thread/3069674/pnp-ready-pacific-ocean-free-18-card-game-for-2-pl,,18 cards,,English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/ueU6vq9Yh3x3QNOHN95x.jpg,,help@pnpfinder.com
The Artemis Project,"Daryl Chow, Daniel Rocchi",Grand Gamers Guild,Free,,1-5,up to 90 minutes,12+,Science Fiction,Dice Placement,Worker Placement,MEDIUM,Solo/Competitive,Base Game,"Advanced Crafting (many cards, folding boards, tiles, circle tokens)","Build a base on Europa, fight for limited resources, avoid lethal exposure.",The Artemis Project is a dice (dis)placement and engine building game that has you fighting the planet as well as the other players. Roll your dice and place them tactically to thwart the other colonists. Harvest energy and minerals. Bid for buildings. Work together to go on Expeditions to earn rewards. Train workers. Will your efforts be enough to survive?,https://www.dropbox.com/scl/fi/5ogpq2powmkgwx8xmxo2h/The-Artemis-Project-PNP.pdf?rlkey=z5bllhmvs18nw4s37f1hxpsik&e=1&st=1fyo7vyy&dl=0,,"Game board, player boards, many cards, many tokens",d6's,English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/DhcxcZnKQFxI5ExOLxC6.jpg,STAFF PICKS,help@pnpfinder.com
Sunshine City,Peter C. Hayward,Jellybean Games,Free,,1-100,up to 60 minutes,10+,City Building,Flip & Write / Roll & Write,Worker Placement,LIGHT-MEDIUM,Solo/Competitive,Base Game,Quick Print (no crafting required),A roll-and-write-and move game about building a solarpunk metropolis!,"Sunshine City is a roll-and-write-and-move for any number of players. Each turn, roll two dice. All players then move one of their three workers — builder, inventor, or lobbyist — based on the lower die roll, then a different worker based on the higher die roll, gaining resources in whichever of your city's seven districts they land in. Builders spend resources to increase your city's production, inventors spend resources on special abilities, and lobbyists gain support for projects, which gives access to powerful one-off powers. The first player to build seven solar farms in their city wins!",https://sunshinecity.coffeebean.games/,,1 sheet of paper,"3 different tokens, pencil, 2 dice",English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/E5ZrG5ZHtfwwwCKIDjVO.png,2022 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
Bomber Boys,Steven Aramini,Web published,Free,,1,up to 30 minutes,14+,War / Wargame,Dice Rolling,Dice Placement,LIGHT-MEDIUM,Solo,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Mission-based card & dice game of WW2 Bomber Crew.,"Bomber Boys is a dice rolling and dice allocation game with a WWII theme. You are managing the crew of an Allied aircraft during a series of air operations. To win, you have to complete each of the given missions, and each mission ends with a target that you have to bomb for a major victory. The game comes with five missions of progressive difficulty, and gameplay is based on a combination of decision making and luck. With stellar game design by Steven Aramini, and professional graphic design by Mike Haught, Bomber Boys is quite simply one of the best free PnP games available. Description from Solitaire Times website",https://www.pnparcade.com/products/bomber-boys?_pos=1&_sid=3d89611b3&_ss=r,,"cards, a board, a few tokens",d6's,English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/BgupPaTu9RzQDQGEC929.png,STAFF PICKS,help@pnpfinder.com
Unterseeboot: U-Boat Solitaire,Etienne Michot,Web published,Free,,1,up to 20 minutes,10+,War / Wargame,Dice Rolling,Area Control / Area Majority / Territory Control,LIGHT-MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),Patrol the Altlantic and sink tons of Allied cargo ... if they let you.,"""Unterseeboot: U-Boat Solitaire"" is a Print-n-Play solitaire wargame of German WWII submarine warfare. Components include an 8 1/2"" x 11"" map board, 7 dice, and 30 cubes/tokens. As U-Boat commander your mission is to sink as much Allied shipping as possible within a fast 20-turn time frame without yourself getting sunk. You have a limited supply of torpedoes and battery life, and an operational area of four depth level within which to maneuver and evade aerial attack and depth charges. Each patrol lasts no more than 10 minutes in this fun-filled yet intensive drama that unfolds above and below the dark seas of the North Atlantic.",https://boardgamegeek.com/filepage/202597/unterseeboot-rules-2020-edition,,"8 1/2"" x 11"" map board","7 dice, and 30 cubes/tokens.",English,2016,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/QI6xmLhbASw57YW6cJgO.jpg,STAFF PICKS,help@pnpfinder.com
Agent Pink vs Omniscient,François Bergeron,Self-published,Free,,1,up to 60 minutes,10+,Spies / Espionage,Dice Placement,Card Play,LIGHT-MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),Solo card and dice secret agent vs an evil organization.,"In this print and play game, you are Agent Pink of the International Intelligence Initiative. You are parachuted to a corporate-owned archipelago where a secret society of technoanarchists called Omniscient are assembling the last hardware modules of a powerful new A.I. called The Eye. If they succeed, machines will rule the world. You are Humanity's last hope! Cards show icon sequences that can trigger game actions. Complete the sequences by matching dice to card icons. Get the four precious hardware modules and get out alive to win.",https://boardgamegeek.com/boardgame/380441/agent-pink-vs-omniscient/files,,56 cards (gutterfold layout) + 8-9 square tokens,5 Cubes for custom dice + 1d6 (+ 1 optional tracker cube),English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/EQsNlpclw1d0b6NpuUxg.png,,help@pnpfinder.com
Halls of Hegra,Petter Schanke Olsen,Tompet Games,Free,,1,up to 90 minutes,14+,War / Wargame,Worker Placement,Bag Building,MEDIUM-HEAVY,Solo,Base Game,"Expert Crafting (100's of cards, many boards, many tiles and tokens, unique elements)",Command a group of Norwegian volunteers fighting superior German forces.,"Halls of Hegra is a solitaire-only wargame in the same vein as ""Robinson Crusoe"", ""This War of Mine"" and ""Dead of Winter"". The mechanics are worker placement, bag building, and area control/ tower defense. You play as the commander of the Norwegian forces during the three stages of the game. 1. Mobilization. Explore the fortress while you dig your way through mountains of snow and broken equipment. New recruits are joining your growing force while you plan supply routes for the coming siege. 2. 1st. attack The village below the fortress is attacked. You try to defend it while you do the final preparations before the Siege. Send out patrols behind enemy lines to secure enough supplies. 3. Siege The Siege of fortress Hegra begins. You have to endure constant bombing and infantry attack while keeping the morale up amongst your men. Will you survive? —description from the designer",https://www.pnparcade.com/products/halls-of-hegra-kickstarter-preview,,21 pages of cards and rules,"5D6, 3 tile bags",English,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/JEj40JWqW8k56XDnKvrF.jpg,,help@pnpfinder.com
Rotation Rumble,Robin Metz,Beaverlicious,Free,,2,up to 20 minutes,10+,Fantasy,Card Play,Drafting,LIGHT-MEDIUM,Competitive,Base Game,Quick Print (no crafting required),The micro battle card game with a twist!,"In Rotation Rumble, you take on the role of a guild coach who hires and commands mercenaries in weekly rumble fights for money, cheesecake, and glory! Choose your favorite fighters and items to create the perfect combination of reckless rumblers! Rotation Rumble is a micro card game featuring square cards. Most cards have a different ability on each of their sides, which can be used or activated by rotating them, offering endless strategic combinations! With 2-player decks that fit conveniently in your pocket, housed in a small cartridge case, it’s perfect for on-the-go battles. For the latest updated version of the game rules, visit beaverlicious.com.",https://boardgamegeek.com/boardgame/361872/rotation-rumble,,"2 Pages, one for each player, with 11 cards on each.",3 marker (little cubes) and 3-4 dice.,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/A87JVMxZtVXO11Z9zIAH.jpg,,help@pnpfinder.com
Co-op Train Game,Randy Cox,,Free,,1-4,up to 20 minutes,5+,Trains,Dice Rolling,Pick Up and Deliver,LIGHT,Cooperative,Base Game,Simple Cuts (a few cards or tiles),Work together to deliver as many goods as you can before the sun sets,"A cooperative pick up and deliver game for young kids (4-6). Move your trains around the map, pick up goods, and deliver them to the correct locations before the sun gets to the end of the track.",https://boardgamegeek.com/filepage/34251/train-game-diy-files,,"1 board, 4 player pieces, 4 train cards, 12 coaches, 16 goods tiles, 8 destination tiles, 1 sun token","One 6-sided die, optional tokens for player pieces",English,2008,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/8d6E9eAXJmlYwH7R3o6n.jpg,,help@pnpfinder.com
I Grant Thee: a Pocket Game,Kerwyn Velasco,,Free,,2,up to 10 minutes,10+,Collecting,Resource Management,Set Collection,LIGHT,Competitive,Base Game,Simple Cuts (a few cards or tiles),Head-to-head resource management game based on Filipino Folklore,"Based on Filipino mythology, I Grant Thee: a Pocket Game has 2 players go head-to-head as priests praying to different gods by converting resources to other resources. Visit different places, avoid curses, and gain powerful abilities. Be the first to pray to all the Gods before the other priest does!",https://drive.google.com/file/d/11JVbaVIH9Z5JDYUqnINC6kDcncNIuKpB/view?usp=sharing,,20 cards,(20 Tokens),English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/xGNgKprLB4dPNeXFY5Zp.png,,help@pnpfinder.com
Ghost Gate Chronicles part 1 : The Divide,Vincent Fugère,Invisible temple games,Paid,12$ CAN,1-4,up to 30 minutes,10+,Abstract,Dice Rolling,Exploration,LIGHT,Solo/Competitive,Base Game,Simple Cuts (a few cards or tiles),"Help guide souls, magic and dreams to and from the underworld","Ghost Gate Chronicles Part 1 : The Divide is the first in a new series of syndicated Roll & Write games by Invisible Temple Games. All games in the series will follow events on Susurrus as they unfold and deteriorate. In The Divide, from somewhere beyond, up to 4 players guide the souls of the departed, the dreams of the living and primordial mana through The Ghost Gates, portals between the now and the hereafter. As you fulfill your ethereal duties something new and dramatic happens : The Ghost Gates are closing! —— At around 20-30 minutes of gameplay, The Divide is a puzzle for all ages as you pick up and deliver these symbols from one side of the board to the other in as efficient a way as possible, all the while making the most out of your special power ups! This project was backed through kickstarter and thus contains a solo mode (the Traveler), the mission scroll cards and god event cards as additional content for more varied playthroughs!",https://www.invisibletemplegames.com/games/p/ghost-gate-chronicles-part-1-the-divide,,"1 board, 1 page rulebook, 12 god cards, 12 mission cards, 1 solo board","2 white dice, 1 black die, 1 pencil",English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/bfhbArfZXKGTQhTj8v2x.jpg,,help@pnpfinder.com
Dune: The Dice Game,Heiko Günther,,Free,,3+,up to 120 minutes,10+,Science Fiction,Area Control / Area Majority / Territory Control,Dice Rolling,MEDIUM,Competitive,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)","Roll dice to vie for control of Arrakis, the desert planet.","Inspired by and based on both, this game tries to find a middle ground between the complexity and duration of Dune and the excessive simplicity of Dune Express.",https://boardgamegeek.com/filepage/114073/rules,,,,English,2015,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/sgFVvlEvHZtBFGrkJMxH.png,,help@pnpfinder.com
